query_idx,db_idx,success,tx,ty,tz,r00,r01,r02,r10,r11,r12,r20,r21,r22
0,13,1,-1.25341802405181,1.765196329888385,0.876318012824358,0.9981693784057688,-0.05954086352045297,0.010619679104376853,0.05952153222406059,0.998224754785386,0.0021274715876731395,-0.010727498065311359,-0.0014914774202232813,0.9999413464200607
0,14,1,-1.4137744272503279,1.400686762615502,0.9671829008560502,0.9984237397678648,-0.053845195222199806,0.01583448197556378,0.05377263116769134,0.9985408192841799,0.004973566183541558,-0.016079179246923363,-0.004114264789951102,0.9998622569234142
0,309,1,-1.2159394119487636,1.976969379158646,0.8624217817744753,0.9985113855934991,0.05454103035771446,0.0005374455036798458,-0.05453343183715035,0.9980843574207825,0.02921849215833346,0.0010571907176253198,-0.029204305837711438,0.9995729042287631
0,333,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,447,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,500,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,516,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,517,1,-0.6288643005690971,1.9886242064242063,1.218655914901819,0.9914289239935402,0.1276444387138809,0.027849343518822862,-0.12782509335642592,0.9917851169194019,0.0047986837351128,-0.02700803912601041,-0.008317398787296893,0.9996006135952403
0,608,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1267,1,-0.8435863051978817,-0.3957937754115732,1.3962630374149405,0.9937611133793167,0.10943357550867445,0.021520736197629585,-0.10980223984611409,0.9938120610182015,0.016764709944734373,-0.019552945043577154,-0.019023141857797608,0.9996278319524627
0,1268,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1269,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1695,1,-0.23854699034170462,6.381090756234415,1.0641841619702976,-0.9931338169019233,-0.11220811692142822,0.03308413853743825,0.11209449769118211,-0.9936835494542928,-0.005275142773389319,0.033467078049612894,-0.001530372786339109,0.9994386487653737
0,2213,1,0.683973882672439,-0.34352769890815105,1.0899612158330634,0.9938078843549369,0.11081839980882123,0.008072871718079586,-0.11080934064672424,0.9938404545835299,-0.001562324755318318,-0.00819628082745682,0.0006581010675522562,0.9999661933703471
0,2216,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,2242,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,2271,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,2308,1,2.6469983115701177,-2.5951694107391594,1.235017755611456,0.9255578017234524,-0.37854690412304737,0.006707983877961726,0.378362041848416,0.9254517756816099,0.01952373366067649,-0.013598564525275303,-0.015532297531658048,0.9997868906803289
0,2310,1,-0.05825997488950189,-2.4747532252870417,1.4583557399531972,0.9916324420635421,-0.12843999635681422,0.012971784108508546,0.12842829332660816,0.991717280477232,0.0017346688612589025,-0.01308714332124824,-5.420982460477847e-05,0.9999143582032334
